Filename                                                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
codecoverage/dist/include/mozilla/TextUtils.h                                 63                20    68.25%          18                 8    55.56%          90                44    51.11%          48                16    66.67%
codecoverage/dist/include/mozilla/ThreadLocal.h                               48                24    50.00%           8                 0   100.00%          37                 2    94.59%           4                 1    75.00%
codecoverage/dist/include/mozilla/TimeStamp.h                                115                36    68.70%          46                13    71.74%         160                51    68.12%          22                12    45.45%
codecoverage/dist/include/mozilla/Tuple.h                                     26                 8    69.23%          26                 8    69.23%          61                27    55.74%           0                 0         -
codecoverage/dist/include/mozilla/TypedEnumBits.h                              5                 5     0.00%           5                 5     0.00%          13                13     0.00%           0                 0         -
codecoverage/dist/include/mozilla/UniquePtr.h                                 58                 9    84.48%          46                 9    80.43%         143                23    83.92%           6                 0   100.00%
codecoverage/dist/include/mozilla/UniquePtrExtensions.h                        5                 5     0.00%           5                 5     0.00%          10                10     0.00%           0                 0         -
codecoverage/dist/include/mozilla/Unused.h                                     1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
codecoverage/dist/include/mozilla/Utf8.h                                      71                61    14.08%          26                16    38.46%         159               127    20.13%          28                28     0.00%
codecoverage/dist/include/mozilla/Variant.h                                  226               120    46.90%          45                 7    84.44%         267                56    79.03%          16                 7    56.25%
codecoverage/dist/include/mozilla/Vector.h                                   672               123    81.70%         100                21    79.00%         719               249    65.37%         150                58    61.33%
codecoverage/dist/include/mozilla/WrappingOperations.h                        15                 1    93.33%           9                 0   100.00%          30                 0   100.00%           2                 0   100.00%
codecoverage/dist/include/mozilla/XorShift128PlusRNG.h                         9                 3    66.67%           6                 3    50.00%          28                12    57.14%           0                 0         -
codecoverage/dist/include/mozilla/cxxalloc.h                                  20                16    20.00%           8                 6    25.00%          24                18    25.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/BidiEmbeddingLevel.h                    3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/Calendar.h                              5                 5     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/Collator.h                              1                 1     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/DateIntervalFormat.h                    1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/DateTimeFormat.h                       56                56     0.00%           8                 8     0.00%          89                89     0.00%          12                12     0.00%
codecoverage/dist/include/mozilla/intl/DateTimePart.h                          1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/DateTimePatternGenerator.h             22                22     0.00%           8                 8     0.00%          59                59     0.00%           4                 4     0.00%
codecoverage/dist/include/mozilla/intl/DisplayNames.h                        288               288     0.00%          27                27     0.00%         502               502     0.00%         180               180     0.00%
codecoverage/dist/include/mozilla/intl/ICU4CGlue.h                           149               149     0.00%          48                48     0.00%         247               247     0.00%          44                44     0.00%
codecoverage/dist/include/mozilla/intl/ICUError.h                              5                 5     0.00%           5                 5     0.00%          11                11     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/IDNA.h                                  5                 5     0.00%           5                 5     0.00%          12                12     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/ListFormat.h                           49                49     0.00%           4                 4     0.00%          64                64     0.00%          22                22     0.00%
codecoverage/dist/include/mozilla/intl/Locale.h                              186               186     0.00%          75                75     0.00%         201               201     0.00%          90                90     0.00%
codecoverage/dist/include/mozilla/intl/MeasureUnit.h                           7                 7     0.00%           7                 7     0.00%          23                23     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/NumberFormat.h                         13                13     0.00%           4                 4     0.00%          22                22     0.00%           6                 6     0.00%
codecoverage/dist/include/mozilla/intl/NumberParser.h                          1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/NumberPart.h                            2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/NumberRangeFormat.h                    47                47     0.00%           5                 5     0.00%          47                47     0.00%          36                36     0.00%
codecoverage/dist/include/mozilla/intl/NumberingSystem.h                       4                 4     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/mozilla/intl/PluralRules.h                          14                14     0.00%           2                 2     0.00%          35                35     0.00%          12                12     0.00%
codecoverage/dist/include/mozilla/intl/RelativeTimeFormat.h                   14                14     0.00%           2                 2     0.00%          35                35     0.00%           2                 2     0.00%
codecoverage/dist/include/mozilla/intl/String.h                               79                79     0.00%           9                 9     0.00%         133               133     0.00%          26                26     0.00%
codecoverage/dist/include/mozilla/intl/TimeZone.h                             36                31    13.89%           7                 5    28.57%          52                48     7.69%           8                 8     0.00%
codecoverage/dist/include/mozilla/leb128iterator.h                             5                 5     0.00%           5                 5     0.00%         102               102     0.00%           0                 0         -
